ID,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation_Feedback,
E11,ماذا يمثل الرمز (k) في قانون ضجيج جونسون (N=kTB)؟,ثابت بلانك,ثابت العزل,ثابت بولتزمان,درجة الحرارة,Option_C,"الإجابة الصحيحة هي (ثابت بولتزمان).
التفسير: k هو ثابت بولتزمان وقيمته 1.38x10^-23. بينما T هي الحرارة و B عرض النطاق.",
E12,"في حسابات الاتصالات الميكروية، ماذا يعني الرمز Lp؟",كسب الهوائي,فقد المسار الحر (Free Space Path Loss),ضجيج النظام,هامش الخفوت,Option_B,"الإجابة الصحيحة هي (فقد المسار الحر).
التفسير: Lp يرمز لـ Path Loss وهو الفقد الناتج عن انتشار الموجة في الفضاء.",
E13,"إذا سقط شعاع ضوئي عمودياً (بزاوية صفر) على سطح زجاجي، كم تكون زاوية الانكسار؟",90 درجة,45 درجة,0 درجة,180 درجة,Option_C,"الإجابة الصحيحة هي (0 درجة).
التفسير: الشعاع العمودي لا يعاني من انكسار، فينفذ كما هو على استقامته.",
E14,القيمة 3 dB تعادل كنسبة خطية (Linear Ratio) تقريباً:,الضعف (x2),النصف (x0.5),عشرة أضعاف (x10),نفس القيمة (x1),Option_A,"الإجابة الصحيحة هي (الضعف x2).
التفسير: 10log(2) ≈ 3dB. لذا زيادة 3dB تعني مضاعفة الاستطاعة.",
E15,ما هي وحدة قياس درجة الحرارة المعتمدة في قوانين الضجيج؟,مئوية (Celsius),فهرنهايت (Fahrenheit),كلفن (Kelvin),رانكين,Option_C,"الإجابة الصحيحة هي (كلفن).
التفسير: القوانين الفيزيائية للضجيج الحراري تعتمد دائماً على درجة الحرارة المطلقة (كلفن).",
E16,"في الليف المتدرج (GRIN)، ما هو شكل مسار الضوء داخل القلب؟",خطوط مستقيمة منكسرة (Zigzag),منحني جيبي (Sinusoidal),حلزوني,عشوائي,Option_B,"الإجابة الصحيحة هي (منحني جيبي).
التفسير: بسبب تغير معامل الانكسار تدريجياً، ينحني الضوء بنعومة بدلاً من الانعكاس الحاد، مما يقلل التشتت.",
E17,المعادلة N = 0.5 * V^2 تستخدم لحساب:,سرعة الضوء,عدد الأنماط (Modes) في الليف,طاقة الفوتون,فقد الكابل,Option_B,"الإجابة الصحيحة هي (عدد الأنماط).
التفسير: هذه العلاقة التقريبية تربط بين التردد المعياري V وعدد المسارات الممكنة للضوء في الليف.",
E18,"ما هو الرمز الذي يعبر عن """"هامش الخفوت"""" في معادلة ميزانية الربط؟",Gs,Lp,Fm,At,Option_C,"الإجابة الصحيحة هي (Fm).
التفسير: Fm اختصار لـ Fade Margin، وهو الاحتياطي الذي نضيفه لضمان استمرار الاتصال في الظروف السيئة.",
E19,القيمة 1.6x10^-19 جول تعادل:,1 واط,1 إلكترون فولت (eV),1 هرتز,1 ديسبل,Option_B,"الإجابة الصحيحة هي (1 إلكترون فولت).
التفسير: هذه شحنة الإلكترون، وتستخدم كوحدة طاقة صغيرة جداً للفوتونات.",
E20,أي عامل من العوامل التالية يزيد من فقد المسار (Path Loss)؟,زيادة كسب الهوائي,نقصان المسافة,زيادة التردد والمسافة,تبريد المستقبل,Option_C,"الإجابة الصحيحة هي (زيادة التردد والمسافة).
التفسير: المعادلة تقول Lp تتناسب مع log(F) و log(D)، فزيادة أي منهما تزيد الفقد.",
E21,ما هي وظيفة الغلاف (Cladding) في الليف البصري؟,حماية القلب فقط,توجيه الضوء عبر الانعكاس,زيادة سرعة الضوء,توليد الضوء,Option_B,"الإجابة الصحيحة هي (توجيه الضوء عبر الانعكاس).
التفسير: الغلاف يملك معامل انكسار أقل، مما يجبر الضوء على العودة للقلب.",
E22,ماذا يحدث لعدد الأنماط N إذا قللنا قطر النواة في الليف؟,يزداد,ينقص,يبقى ثابتاً,يصبح لانهائي,Option_B,"الإجابة الصحيحة هي (ينقص).
التفسير: تقليل القطر (a) يقلل التردد المعياري V، وبما أن N يعتمد على V، فإن عدد الأنماط يقل.",
E23,المصطلح Bit Rate يرمز لـ:,عرض النطاق الترددي,معدل نقل البيانات,نسبة الخطأ,قوة الإشارة,Option_B,"الإجابة الصحيحة هي (معدل نقل البيانات).
التفسير: يقاس بالـ bits per second ويعبر عن سرعة المعلومات.",
E24,في معادلة Lp = 92.4 + ...; ما هي وحدة التردد المستخدمة مع الثابت 92.4؟,Hz,kHz,MHz,GHz,Option_D,"الإجابة الصحيحة هي (GHz).
التفسير: الثابت 92.4 مخصص للمعادلة عندما يكون التردد بالجيجاهرتز والمسافة بالكيلومتر."
E25,قيمة معامل تشكيل الدليل g = 2 تعني أن الليف:,Step Index,Graded Index (Parabolic),Single Mode,Plastic Fiber,Option_B,"الإجابة الصحيحة هي (Graded Index - قطع مكافئ).
التفسير: القيمة g=2 تعطي توزيعاً مكافئاً لقرينة الانكسار، وهو النوع الأكثر شيوعاً في GRIN.",
E26,"إذا كانت الاستطاعة تقاس بالميلي واط (mW)، الوحدة اللوغاريتمية المناسبة هي:",dB,dBm,dBµ,Ratio,Option_B,"الإجابة الصحيحة هي (dBm).
التفسير: حرف m يرمز لـ milliwatt مرجعياً.",
E27,ما هو المكون الذي يتم طرح كسبه في معادلة كسب النظام Gs؟,هامش الخفوت,الفواقد,"كسب الهوائيات (At, Ar)",الضجيج,Option_C,"الإجابة الصحيحة هي (كسب الهوائيات).
التفسير: معادلة Gs تحسب الاستطاعة المطلوبة للتغلب على الخسائر، لذا نطرح منها ما يوفره الهوائي من كسب."
E28,ما هي العلاقة بين سرعة الضوء في المادة (v) ومعامل انكسارها (n)؟,v = c * n,v = c / n,v = n / c,v = c + n,Option_B,"الإجابة الصحيحة هي (v = c / n).
التفسير: المادة تبطئ الضوء، لذا السرعة تساوي سرعة الفراغ مقسومة على معامل الانكسار.",
E29,ماذا يعني الرمز C/N في أنظمة الاستقبال؟,السرعة على الضجيج,الناقل (الإشارة) إلى الضجيج,السعة الحرارية,ثابت التوصيل,Option_B,"الإجابة الصحيحة هي (Carrier to Noise ratio).
التفسير: هي نسبة استطاعة الإشارة الحاملة إلى استطاعة الضجيج، وتحدد جودة الاتصال.",
E30,الليف البصري مصنوع غالباً من مادة:,النحاس,السيليكا (الزجاج النقي),الألمنيوم,الكربون,Option_B,"الإجابة الصحيحة هي (السيليكا).
التفسير: الزجاج النقي (SiO2) يتميز بشفافية عالية جداً للضوء مقارنة بالمعادن المعتمة.",
